Year;all_Total;all_Male;all_Female;white_Total;white_Male;white_Female;whiteAlone_Total;whiteAlone_Male;whiteAlone_Female;black_Total;black_Male;black_Female;asian_Total;asian_Male;asian_Female;hispanic_Total;hispanic_Male;hispanic_Female;whiteCombi_Total;whiteCombi_Male;whiteCombi_Female;notWhiteCombi_Total;notWhiteCombi_Male;notWhiteCombi_Female;blackCombi_Total;blackCombi_Male;blackCombi_Female;asianCombi_Total;asianCombi_Male;asianCombi_Female
2005;27,7;28,9;26,5;28,1;29,4;26,8;30,6;32,4;28,9;17,6;16,0;18,8;50,2;54,0;46,8;12,0;11,8;12,1;28,0;29,3;26,7;30,5;32,3;28,9;17,6;16,0;18,9;49,8;53,3;46,6
2004;27,7;29,4;26,1;28,2;30,0;26,4;30,6;32,9;28,4;17,6;16,6;18,5;49,4;53,7;45,6;12,1;11,8;12,3;28,0;29,9;26,3;30,5;32,8;28,3;17,7;16,5;18,6;48,9;52,8;45,4
2003;27,2;28,9;25,7;27,6;29,4;25,9;30,0;32,3;27,9;17,3;16,7;17,8;49,8;53,9;46,1;11,4;11,2;11,6;27,5;29,3;25,8;29,9;32,2;27,9;17,5;16,8;18,0;49,2;52,7;46,0
2002;26,7;28,5;25,1;27,2;29,1;25,4;29,4;31,7;27,3;17,0;16,4;17,5;N;N;N;11,1;11,0;11,2;N;N;N;N;N;N;N;N;N;N;N;N
2001;26,2;28,2;24,3;26,6;28,7;24,6;28,7;31,3;26,3;15,7;15,3;16,1;N;N;N;11,1;10,8;11,4;N;N;N;N;N;N;N;N;N;N;N;N
2000;25,6;27,8;23,6;26,1;28,5;23,9;28,1;30,8;25,5;16,5;16,3;16,7;N;N;N;10,6;10,7;10,6;N;N;N;N;N;N;N;N;N;N;N;N
1999;25,2;27,5;23,1;25,9;28,5;23,5;27,7;30,6;25,0;15,4;14,2;16,4;N;N;N;10,9;10,7;11,0;N;N;N;N;N;N;N;N;N;N;N;N
1998;24,4;26,5;22,4;25,0;27,3;22,8;26,6;29,3;24,1;14,7;13,9;15,4;N;N;N;11,0;11,1;10,9;N;N;N;N;N;N;N;N;N;N;N;N
1997;23,9;26,2;21,7;24,6;27,0;22,3;26,2;29,0;23,7;13,3;12,5;13,9;N;N;N;10,3;10,6;10,1;N;N;N;N;N;N;N;N;N;N;N;N
1996;23,6;26,0;21,4;24,3;26,9;21,8;25,9;28,8;23,2;13,6;12,4;14,6;N;N;N;9,3;10,3;8,3;N;N;N;N;N;N;N;N;N;N;N;N
1995;23,0;26,0;20,2;24,0;27,2;21,0;25,4;28,9;22,1;13,2;13,6;12,9;N;N;N;9,3;10,1;8,4;N;N;N;N;N;N;N;N;N;N;N;N
1994;22,2;25,1;19,6;22,9;26,1;20,0;24,3;27,8;21,1;12,9;12,8;13,0;N;N;N;9,1;9,6;8,6;N;N;N;N;N;N;N;N;N;N;N;N
1993;21,9;24,8;19,2;22,6;25,7;19,7;23,8;27,2;20,7;12,2;11,9;12,4;N;N;N;9,0;9,5;8,5;N;N;N;N;N;N;N;N;N;N;N;N
1992;21,4;24,3;18,6;22,1;25,2;19,1;N;N;N;11,9;11,9;12,0;N;N;N;9,3;10,2;8,5;N;N;N;N;N;N;N;N;N;N;N;N
1991;21,4;24,3;18,8;22,2;25,4;19,3;N;N;N;11,5;11,4;11,6;N;N;N;9,7;10,0;9,4;N;N;N;N;N;N;N;N;N;N;N;N
1990;21,3;24,4;18,4;22,0;25,3;19,0;N;N;N;11,3;11,9;10,8;N;N;N;9,2;9,8;8,7;N;N;N;N;N;N;N;N;N;N;N;N
1989;21,1;24,5;18,1;21,8;25,4;18,5;N;N;N;11,8;11,7;11,9;N;N;N;9,9;11,0;8,8;N;N;N;N;N;N;N;N;N;N;N;N
1988;20,3;24,0;17,0;20,9;25,0;17,3;N;N;N;11,2;11,1;11,4;N;N;N;10,1;12,3;8,1;N;N;N;N;N;N;N;N;N;N;N;N
1987;19,9;23,6;16,5;20,5;24,5;16,9;N;N;N;10,7;11,0;10,4;N;N;N;8,6;9,7;7,5;N;N;N;N;N;N;N;N;N;N;N;N
